vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_0305700	586	704	522	539
PF3D7_1148200	5	4	6	11
PF3D7_0626600	32	43	12	19
PF3D7_0304500	122	112	85	145
PF3D7_0930200	19	45	8	12
PF3D7_1351400	3036	3297	1302	1495
PF3D7_0110400	212	223	276	267
PF3D7_1354300	239	188	458	611
PF3D7_1432200	40	52	29	24
PF3D7_0511300	66	32	34	64
PF3D7_1200600	0	1	1	1
PF3D7_1417600	164	122	372	427
PF3D7_0620100	74	116	115	125
PF3D7_1034500	202	172	174	237
PF3D7_0532700	0	0	0	0
PF3D7_1458000	155	150	169	195
PF3D7_1309100	2145	1939	705	779
PF3D7_0519800	240	194	391	532
PF3D7_0408300	223	174	307	320
PF3D7_0825900	6	2	2	16
PF3D7_1005000	52	100	37	62
PF3D7_1103400	163	141	179	276
PF3D7_1464000	259	263	497	712
PF3D7_1478900	320	359	324	356
PF3D7_0314500	132	140	134	164
PF3D7_0926700	491	478	213	249
PF3D7_1353500	104	82	74	88
PF3D7_1211800	2410	3186	3648	3585
PF3D7_1208200	16	10	6	4
PF3D7_0632000	1	0	2	3
PF3D7_0316500	129	131	95	109
PF3D7_1251500	105	75	175	202
PF3D7_API02600	0	0	0	0
PF3D7_0709100	758	806	728	711
PF3D7_0115200	0	0	1	0
PF3D7_0305900	29	44	10	8
PF3D7_1450300	46	75	50	64
PF3D7_0614800	220	147	162	233
PF3D7_1011400	319	370	248	254
PF3D7_0933900	243	224	236	303
PF3D7_1117200	21	53	66	60
PF3D7_1335600	40	50	22	18
PF3D7_0504600	178	344	274	241
PF3D7_1350200	184	229	157	127
PF3D7_0320400	6	4	30	40
PF3D7_0932300	542	550	211	230
PF3D7_1012400	17501	26704	8380	8176
PF3D7_1207000	220	163	253	260
PF3D7_0412600	9	15	2	2
PF3D7_1104200	334	259	356	419
PF3D7_0211600	29	67	11	13
PF3D7_0219100	22	33	16	12
PF3D7_1464900	215	195	236	315
PF3D7_1004300	429	318	538	577
PF3D7_0417900	2	1	3	6
PF3D7_1477300	0	0	0	0
PF3D7_1204100	54	50	79	90
PF3D7_1303100	246	264	156	166
PF3D7_0719100	226	331	240	265
PF3D7_0305600	488	356	279	301
PF3D7_0731700	50	112	72	92
PF3D7_1252800	45	25	207	252
PF3D7_1202500	17	19	11	18
PF3D7_0618900	181	191	106	134
PF3D7_1314200	84	79	84	97
PF3D7_1466000	6	13	3	3
PF3D7_1120300	71	83	70	79
PF3D7_1414900	19	20	16	33
PF3D7_1422300	20	7	18	21
PF3D7_0621800	1993	2073	1175	1379
PF3D7_0512300	119	159	162	153
PF3D7_1320400	33	39	35	51
PF3D7_0931700	6	18	4	4
PF3D7_1444300	458	670	558	495
PF3D7_0310800	118	147	132	139
PF3D7_1426900	267	433	202	183
PF3D7_1470000	56	47	10	20
PF3D7_1324600	52	35	35	53
PF3D7_1218300	90	117	166	182
PF3D7_1405800	182	134	238	280
PF3D7_1327600	35	64	71	69
PF3D7_0717900	96	86	70	81
PF3D7_1138700	19	19	47	61
PF3D7_1032400	439	459	403	411
PF3D7_0629000	0	5	1	2
PF3D7_1318700	5	17	11	11
PF3D7_1038300	1	4	2	1
PF3D7_1035000	26	29	28	43
PF3D7_1029400	211	225	214	254
PF3D7_1408400	184	138	69	68
PF3D7_0807200	208	208	144	148
PF3D7_1234400	4	9	2	2
PF3D7_1143200	189	184	380	418
PF3D7_0720300	1	3	1	6
PF3D7_1236800	84	134	74	80
PF3D7_1138000	26	21	42	53
PF3D7_1475700	8	27	2	2
PF3D7_1445100	157	143	150	210
PF3D7_0101300	4	7	6	6
PF3D7_0206900	94	78	113	121
PF3D7_1243200	8	9	0	0
PF3D7_1472900	120	164	319	420
PF3D7_0935200	471	498	544	615
PF3D7_0304100	23	22	22	31
PF3D7_0524500	52	86	27	23
PF3D7_0819700	57	74	17	32
PF3D7_1315000	77	81	18	37
PF3D7_1363600	24	44	12	14
PF3D7_1021000	249	333	239	285
PF3D7_1337900	101	163	180	147
PF3D7_0703900	70	36	56	73
PF3D7_1448100	6	10	7	9
PF3D7_1457600	76	69	56	81
PF3D7_1336300	5	9	2	9
PF3D7_1307700	94	109	117	161
PF3D7_1240900	91	49	127	293
PF3D7_1474300	54	75	140	148
PF3D7_0530500	0	3	1	0
PF3D7_1104500	4	9	2	2
PF3D7_1455400	121	125	100	96
PF3D7_0526100	55	47	13	16
PF3D7_0617200	1170	1451	1016	1300
PF3D7_1232000	132	143	107	104
PF3D7_0416200	48	103	72	86
PF3D7_1018800	18	33	29	19
PF3D7_1129800	142	96	70	98
PF3D7_0725600	31	23	62	47
PF3D7_0913800	13	21	42	60
PF3D7_0201400	0	0	0	0
PF3D7_1459600	271	248	241	257
PF3D7_1347700	227	194	557	735
PF3D7_1315900	475	419	223	269
PF3D7_1131900	7	7	3	7
PF3D7_1359700	22	12	25	43
PF3D7_1016900	702	766	932	964
PF3D7_1219800	1	0	0	0
PF3D7_0402300	12	6	24	33
PF3D7_0303200	651	820	1313	1344
PF3D7_1329800	15	11	6	7
PF3D7_1135800	31	46	14	15
PF3D7_0203300	76	124	35	37
PF3D7_0510600	0	0	0	0
PF3D7_1225000	8	14	7	11
PF3D7_0202300	14	6	9	15
PF3D7_1002400	1144	950	1060	1134
PF3D7_0416400	816	833	1269	1312
PF3D7_1205000	217	289	225	264
PF3D7_1208500	16	7	8	11
PF3D7_1478300	0	0	0	1
PF3D7_0309100	11	16	6	15
PF3D7_0913000	272	270	314	334
PF3D7_1003800	277	185	359	405
PF3D7_1362300	108	167	134	182
PF3D7_0902200	58	64	104	148
PF3D7_0311000	0	1	1	0
PF3D7_0927100	31	55	25	42
PF3D7_0611300	219	199	129	173
PF3D7_1471500	54	181	21	24
PF3D7_1121500	42	17	22	17
PF3D7_0903300	388	316	457	525
PF3D7_0532800	0	0	0	0
PF3D7_0317800	233	274	195	194
PF3D7_0732700	1	3	14	21
PF3D7_0824900	78	84	175	202
PF3D7_0202700	116	177	80	59
PF3D7_0112200	751	456	227	302
PF3D7_0705100	30	20	31	32
PF3D7_0717200	235	315	467	449
PF3D7_1479300	0	0	0	0
PF3D7_1249200	4	6	4	4
PF3D7_1111100	748	980	553	572
PF3D7_1339500	31	41	30	41
PF3D7_1479900	4	5	2	6
PF3D7_0215400	521	481	749	885
PF3D7_1217000	13	31	14	12
PF3D7_1424800	1	0	0	0
PF3D7_0115050	1	0	3	1
PF3D7_1365800	117	118	149	193
PF3D7_1018900	21	27	18	15
PF3D7_0911500	11	16	3	3
PF3D7_1411700	68	75	98	90
PF3D7_0925900	1371	1081	1626	1800
PF3D7_1201600	6	12	6	5
PF3D7_0501400	83	43	638	1226
PF3D7_0622000	48	84	13	5
PF3D7_1007200	172	269	193	156
PF3D7_1407100	377	322	380	393
PF3D7_0912500	443	431	410	474
PF3D7_1017100	156	97	69	99
PF3D7_1355500	596	830	501	589
PF3D7_0528500	88	105	69	73
PF3D7_1456000	232	184	372	484
PF3D7_1419900	37	24	39	63
PF3D7_1422200	21	9	12	16
PF3D7_0512900	9	8	2	4
PF3D7_1368700	172	244	167	180
PF3D7_0815900	14	16	46	47
PF3D7_0306400	639	738	950	911
PF3D7_1415600	37	30	59	82
PF3D7_0215100	191	204	306	331
PF3D7_1359300	111	101	134	150
PF3D7_0731200	21	8	269	338
PF3D7_1032200	5	6	3	4
PF3D7_1401100	43	11	147	196
PF3D7_0214000	629	594	340	425
PF3D7_0511900	19	12	8	14
PF3D7_1015800	915	958	681	752
PF3D7_1116500	181	301	157	146
PF3D7_0600800	0	0	0	0
PF3D7_1456300	42	27	20	22
PF3D7_1441100	2295	1755	2304	2496
PF3D7_0904800	655	502	280	412
PF3D7_0918700	11	10	188	199
PF3D7_0208300	50	39	27	33
PF3D7_0303900	9	10	2	2
PF3D7_1216300	99	154	103	140
PF3D7_0936600	0	0	0	0
PF3D7_1215800	0	0	0	1
PF3D7_1463400	101	104	90	80
PF3D7_0913100	33	40	16	20
PF3D7_1424000	0	0	0	0
PF3D7_1006100	38	38	29	36
PF3D7_0906910	120	131	152	185
PF3D7_1306100	48	69	35	29
PF3D7_1302600	148	94	102	97
PF3D7_0709050	0	2	1	1
PF3D7_0900500	0	0	0	0
PF3D7_0400900	0	0	1	2
PF3D7_1422100	234	334	278	287
PF3D7_1411900	118	148	71	65
PF3D7_1333900	32	30	36	28
PF3D7_1133100	130	97	144	176
PF3D7_0936200	0	0	0	0
PF3D7_0405100	574	530	465	602
PF3D7_0919700	79	47	34	39
PF3D7_1000100	1	2	0	2
PF3D7_0109600	23	37	39	37
PF3D7_0315400	171	228	108	96
PF3D7_1150100	0	0	0	0
PF3D7_0311700	20	28	8	11
PF3D7_0629500	402	260	313	353
PF3D7_0502200	91	83	75	96
PF3D7_1242900	70	112	72	109
PF3D7_0414300	195	236	82	118
PF3D7_0631500	0	0	0	0
PF3D7_1119400	197	169	186	265
PF3D7_0721000	269	307	240	288
PF3D7_0221800	32	24	5	4
PF3D7_0415100	22	23	9	9
PF3D7_1144500	80	89	69	88
PF3D7_1369400	39	21	13	12
PF3D7_0409700	75	122	96	107
PF3D7_0623400	32	26	88	102
PF3D7_1134400	116	181	120	143
PF3D7_1127900	38	60	58	70
PF3D7_0832300	10	6	8	9
PF3D7_1218800	18	21	26	31
PF3D7_0506300	177	151	111	143
PF3D7_1307200	184	296	254	269
PF3D7_1246500	130	162	141	155
PF3D7_1354600	44	47	58	61
PF3D7_0931500	114	122	96	89
PF3D7_1349700	125	178	108	144
PF3D7_1239700	492	463	546	622
PF3D7_0423600	161	118	190	245
PF3D7_0711400	118	201	416	504
PF3D7_0423900	2	3	15	24
PF3D7_1244200	147	125	145	189
PF3D7_1434700	95	108	143	166
PF3D7_0303000	30	55	44	72
PF3D7_0526200	261	267	179	200
PF3D7_0824700	156	201	141	129
PF3D7_1204200	52	51	26	28
PF3D7_1115700	859	779	1078	1242
PF3D7_0829800	839	738	917	1217
PF3D7_0220400	0	0	8	19
PF3D7_0607600	186	182	199	246
PF3D7_0312400	1331	1410	1571	1536
PF3D7_1436300	151	95	873	1028
PF3D7_0803300	123	109	135	168
PF3D7_1312450	1	3	3	4
PF3D7_0626100	208	256	163	191
PF3D7_0721200	86	82	91	79
PF3D7_0415200	35	35	42	32
PF3D7_1241400	16	9	120	154
PF3D7_0723900	421	368	424	513
PF3D7_1203200	85	78	77	85
PF3D7_1458800	24	20	16	24
PF3D7_0223200	0	0	0	0
PF3D7_1030100	670	590	514	672
PF3D7_1342900	25	28	50	61
PF3D7_0709500	122	175	109	111
PF3D7_0817900	781	1493	562	504
PF3D7_0714100	0	1	3	0
PF3D7_1434500	94	65	82	125
PF3D7_1137900	0	0	0	0
PF3D7_1314800	5	4	6	1
PF3D7_1029300	101	89	74	119
PF3D7_1032000	79	90	197	187
PF3D7_1143600	7	6	4	6
PF3D7_0935800	0	0	0	0
PF3D7_0521700	36	32	40	54
PF3D7_0321400	68	77	63	59
PF3D7_0213800	7	7	1	5
PF3D7_0521500	105	81	67	102
PF3D7_0532900	0	3	1	2
PF3D7_0321300	15	10	33	41
PF3D7_0317900	86	75	82	94
PF3D7_1239600	169	254	99	89
PF3D7_1362500	44	25	36	29
PF3D7_1419600	30	31	88	109
PF3D7_0400400	0	1	0	1
PF3D7_0528700	148	148	106	129
PF3D7_0815100	21	28	35	61
PF3D7_1448300	255	194	259	326
PF3D7_0925200	110	88	118	173
PF3D7_0524600	252	355	341	379
PF3D7_1355300	70	95	132	125
PF3D7_0724300	49	52	43	51
PF3D7_API00100	0	0	0	0
PF3D7_1341000	0	0	0	0
PF3D7_1353900	955	1373	827	933
PF3D7_0108700	272	244	503	595
PF3D7_1206900	26	18	8	13
PF3D7_1108100	5	9	12	13
PF3D7_1406800	636	1135	879	862
PF3D7_0213300	41	34	31	38
PF3D7_0301700	319	272	892	1063
PF3D7_1305600	177	178	124	142
PF3D7_1403100	420	282	336	419
PF3D7_0934000	73	81	56	63
PF3D7_0319600	869	792	525	550
PF3D7_0409100	309	306	349	404
PF3D7_1107200	356	359	338	355
PF3D7_0402600	16	8	19	22
PF3D7_1442500	117	89	126	126
PF3D7_1146900	0	0	0	0
PF3D7_1461900	384	253	230	273
PF3D7_0527600	387	364	153	190
PF3D7_1338200	2405	2290	1160	1380
PF3D7_0508500	141	141	203	230
PF3D7_0309600	1635	1943	1178	1155
PF3D7_1213400	3	6	1	2
PF3D7_0531300	71	70	22	47
PF3D7_1105400	3255	3033	1327	1462
PF3D7_0210200	348	201	206	230
PF3D7_0917300	26	16	15	11
PF3D7_0112800	20	9	21	22
PF3D7_1349900	26	10	9	7
PF3D7_0700100	16	6	8	6
PF3D7_1111800	51	119	69	91
PF3D7_1460900	86	123	91	90
PF3D7_0216500	43	46	42	58
PF3D7_0817500	1549	1886	1816	1879
PF3D7_1116600	412	397	331	362
PF3D7_1311000	29	31	21	25
PF3D7_1220000	2	2	2	1
PF3D7_1215100	81	70	86	139
PF3D7_1201300	2	2	8	8
PF3D7_0822400	12	11	7	5
PF3D7_0902300	14	20	96	138
PF3D7_1326700	52	58	21	23
PF3D7_0409300	94	92	65	64
PF3D7_1147600	37	35	53	51
PF3D7_0906100	224	266	249	300
PF3D7_1408200	59	42	133	124
PF3D7_0620200	7	1	0	1
PF3D7_1012700	102	80	105	137
PF3D7_1321200	86	114	129	145
PF3D7_0912400	582	612	1058	1226
PF3D7_0617700	13	2	2	4
PF3D7_0732300	0	0	0	0
PF3D7_1207500	112	161	150	172
PF3D7_0305500	315	203	241	299
PF3D7_1447200	290	433	476	502
PF3D7_0828900	141	194	174	209
PF3D7_1452200	18	15	17	19
PF3D7_1421400	135	121	104	137
PF3D7_1126000	808	629	608	755
PF3D7_1022900	189	244	115	156
PF3D7_1109500	0	0	0	0
PF3D7_1109200	6	14	13	14
PF3D7_0716200	198	155	285	377
PF3D7_0211900	190	250	165	197
PF3D7_1442000	63	65	38	57
PF3D7_1017600	595	624	959	1107
PF3D7_0723000	64	48	30	26
PF3D7_1227600	497	364	353	416
PF3D7_1359800	20	20	15	10
PF3D7_0905400	3362	3146	2467	2337
PF3D7_1352500	1703	2231	1382	1367
PF3D7_1344100	60	58	143	171
PF3D7_0313100	547	565	500	595
PF3D7_0304900	69	97	82	91
PF3D7_1101200	0	1	4	5
PF3D7_1469000	90	94	55	96
PF3D7_0810000	309	274	167	172
PF3D7_1033600	406	341	348	421
PF3D7_0517300	1112	647	1062	1241
PF3D7_0622900	75	43	185	218
PF3D7_0521000	132	166	127	146
PF3D7_1345600	185	164	225	218
PF3D7_1104400	398	480	485	519
PF3D7_1145800	67	74	81	100
mal_rna_18	1	1	0	0
PF3D7_1404600	34	31	15	15
PF3D7_1453600	39	23	25	37
PF3D7_0308400	0	1	1	0
PF3D7_1427300	197	190	122	131
PF3D7_1022100	66	66	30	46
PF3D7_0523200	35	36	12	19
PF3D7_1031100	23	35	37	59
PF3D7_0623800	157	149	356	506
PF3D7_0300300	0	1	0	0
PF3D7_1013600	144	121	87	126
PF3D7_1461200	71	92	82	102
PF3D7_0302500	263	398	103	116
PF3D7_1103200	0	0	0	0
PF3D7_1472100	313	348	162	176
PF3D7_0914400	81	135	116	112
PF3D7_1030600	86	87	132	183
PF3D7_0424600	444	265	521	585
PF3D7_1320000	148	166	289	324
PF3D7_1243600	731	718	463	480
PF3D7_1223200	194	225	157	152
PF3D7_0722800	1	12	2	5
PF3D7_0914500	157	157	166	253
PF3D7_0610300	0	0	0	0
PF3D7_0812300	4	29	14	11
PF3D7_0822300	65	112	97	92
PF3D7_1027700	358	445	325	340
PF3D7_1407800	878	842	985	1019
PF3D7_1406600	184	174	162	188
PF3D7_0615400	1178	1121	1319	1643
PF3D7_1422400	75	59	61	86
PF3D7_1317100	1903	2159	1715	1715
PF3D7_0806500	183	229	288	310
PF3D7_1301500	28	9	79	129
PF3D7_0217700	103	97	32	40
PF3D7_1413800	20	18	39	45
PF3D7_1434100	41	30	23	32
PF3D7_0715900	830	1088	1358	1386
PF3D7_0416300	152	151	300	333
PF3D7_0711200	18	16	6	9
PF3D7_0201900	0	0	0	0
PF3D7_0219600	322	316	268	317
PF3D7_0919200	12	20	69	103
PF3D7_0415500	279	322	243	288
PF3D7_0620800	0	0	0	0
PF3D7_1318400	350	349	367	459
PF3D7_1459500	7	3	10	13
PF3D7_0607500	149	203	77	79
PF3D7_1476900	0	1	8	11
PF3D7_1131600	0	0	1	0
PF3D7_0419200	62	85	49	55
PF3D7_1234100	368	232	332	443
PF3D7_1331300	517	694	378	379
PF3D7_0204800	98	109	73	82
PF3D7_0923300	12	38	15	14
PF3D7_1304100	75	79	106	102
PF3D7_0523000	943	835	864	1105
PF3D7_1335100	667	324	586	730
PF3D7_1203800	3	3	0	0
PF3D7_0829400	107	122	328	443
PF3D7_1232200	145	153	104	94
PF3D7_0414700	239	309	307	297
PF3D7_1424200	0	0	0	0
PF3D7_0212200	101	87	120	144
PF3D7_0323900	0	0	0	1
PF3D7_0910700	4	12	14	14
PF3D7_1110900	128	132	118	188
PF3D7_0728900	197	211	162	186
PF3D7_1221500	43	16	29	31
PF3D7_0508900	280	171	377	467
PF3D7_1250600	221	296	453	529
PF3D7_0214800	48	52	156	144
PF3D7_1101100	0	0	0	2
PF3D7_1432800	96	56	66	65
PF3D7_1416900	316	342	314	365
PF3D7_0508100	473	479	406	400
PF3D7_0605600	8	5	8	7
PF3D7_0210100	1431	1574	694	770
PF3D7_0721300	174	179	220	307
PF3D7_1300200	6	7	7	9
PF3D7_1210100	122	191	160	189
PF3D7_0110700	1021	1015	1061	1167
PF3D7_0112000	81	52	43	58
PF3D7_1102500	3	5	42	52
PF3D7_0828500	179	171	210	211
PF3D7_1015900	22655	12890	7240	7464
PF3D7_1202700	104	137	83	137
PF3D7_0112500	0	0	0	0
PF3D7_0701500	0	0	0	0
PF3D7_0323300	25	28	27	39
PF3D7_1140000	4	8	10	9
PF3D7_0401600	159	135	318	425
PF3D7_0937300	0	0	0	0
PF3D7_1243100	174	236	246	227
PF3D7_1232700	99	158	62	67
PF3D7_1476300	112	118	231	271
PF3D7_1366700	14	18	14	14
PF3D7_1464400	169	221	257	255
PF3D7_1123800	31	24	20	33
PF3D7_0309800	110	111	110	107
PF3D7_0902700	124	118	277	318
PF3D7_1212100	159	140	136	142
PF3D7_0812800	20	31	25	27
PF3D7_0710000	129	74	117	141
PF3D7_1465800	11	8	4	6
PF3D7_1406700	191	191	205	189
PF3D7_1352000	31	32	39	48
PF3D7_1112400	117	110	63	86
PF3D7_1113500	90	127	48	48
PF3D7_1360100	109	118	133	166
PF3D7_0209800	2796	2652	1896	2128
PF3D7_1472500	13	38	52	41
PF3D7_0906800	4	0	4	6
PF3D7_0522900	4	6	5	8
PF3D7_1331200	152	215	235	300
PF3D7_0615300	122	145	105	86
PF3D7_1254700	0	0	0	0
PF3D7_1300300	0	0	0	2
PF3D7_0815700	7	12	3	3
PF3D7_1216100	35	41	17	19
PF3D7_1335700	104	67	67	84
PF3D7_1435000	284	403	256	250
PF3D7_0211800	999	862	686	692
PF3D7_0207600	6200	4428	5043	5607
PF3D7_1450200	4	3	10	8
PF3D7_0602900	47	27	26	46
PF3D7_1413900	77	156	134	127
PF3D7_0514200	121	100	125	162
PF3D7_0619000	336	280	357	456
PF3D7_0507600	73	103	133	157
PF3D7_1120700	34	30	28	37
PF3D7_1147200	1	4	2	11
PF3D7_1252700	516	346	354	427
PF3D7_1410900	199	196	281	363
PF3D7_1105800	625	679	451	519
malmito_rna_23	1	0	0	0
PF3D7_1020700	134	95	80	109
PF3D7_0104200	222	218	413	453
PF3D7_1215900	44	37	48	41
PF3D7_1145300	76	112	79	73
PF3D7_1207700	4	3	20	41
PF3D7_0505700	167	172	172	219
PF3D7_0220900	0	0	0	0
PF3D7_0919300	21	43	33	52
PF3D7_0510500	249	217	230	311
PF3D7_1326000	247	335	200	230
PF3D7_1127800	108	82	150	205
PF3D7_0203400	332	415	353	381
PF3D7_1465600	13	5	10	7
PF3D7_0512000	232	289	302	312
PF3D7_0621000	37	34	30	36
PF3D7_1141500	2	4	3	4
PF3D7_0926100	500	372	487	579
PF3D7_1012900	563	668	674	737
PF3D7_0801500	169	139	208	232
PF3D7_0220200	1357	1299	668	929
PF3D7_0307400	215	231	153	195
PF3D7_0503600	71	110	80	79
PF3D7_0702000	11	16	44	57
PF3D7_0600100	0	0	0	0
PF3D7_0811400	1215	957	717	983
PF3D7_1254100	0	0	0	0
PF3D7_0826900	160	187	294	392
PF3D7_0101100	0	0	0	0
PF3D7_1224500	303	324	282	369
PF3D7_0112100	1	0	0	0
PF3D7_0936900	0	0	0	0
PF3D7_0920300	31	34	9	14
PF3D7_0929800	1	2	0	0
PF3D7_0217100	593	522	705	722
PF3D7_1007500	46	27	27	31
PF3D7_0412700	4	4	1	0
PF3D7_1230800	168	161	190	261
PF3D7_0320900	1649	2241	1599	1455
PF3D7_0416900	79	57	59	74
PF3D7_0631600	0	0	0	0
PF3D7_1011800	2409	2191	3140	4035
PF3D7_1019500	744	937	578	521
PF3D7_1140700	79	42	89	127
PF3D7_1118900	29	39	17	19
PF3D7_0214900	142	171	220	264
PF3D7_1033400	1424	1078	720	1008
PF3D7_1210900	75	111	51	41
PF3D7_1477200	1	0	1	9
PF3D7_0626500	11	18	4	3
mal_rna_9	0	1	0	2
malmito_rna_RNA22	2	3	1	0
PF3D7_1032800	130	91	82	92
PF3D7_1013200	119	100	218	261
PF3D7_1438600	82	82	77	66
PF3D7_0109700	63	80	171	192
PF3D7_0910300	122	154	90	128
PF3D7_1353100	71	45	609	733
PF3D7_1252600	199	371	376	414
PF3D7_1343600	87	56	54	70
PF3D7_1225600	229	264	352	357
PF3D7_0517700	1031	855	597	787
PF3D7_1027900	46	56	26	23
PF3D7_1013000	94	80	46	60
PF3D7_0413200	1	0	1	1
PF3D7_0816500	1	2	1	6
PF3D7_1339600	57	63	30	42
PF3D7_0919600	69	35	26	34
PF3D7_0521300	90	104	94	120
PF3D7_0930300	1079	920	1051	1197
PF3D7_1025900	234	260	202	233
PF3D7_1214300	177	220	156	202
PF3D7_0305300	205	195	207	262
PF3D7_1339400	103	153	157	174
PF3D7_1453300	0	0	0	0
PF3D7_1409900	431	586	524	522
PF3D7_1124100	142	139	97	116
PF3D7_0415600	26	33	18	29
PF3D7_1247600	21	24	5	7
PF3D7_0930700	46	32	20	20
PF3D7_1403700	39	53	45	54
PF3D7_0524100	186	177	267	368
PF3D7_0315700	8	24	54	43
PF3D7_1338000	399	531	391	367
PF3D7_1009900	71	76	34	40
PF3D7_0303400	214	249	178	169
PF3D7_1110800	19	15	7	10
PF3D7_1357900	304	210	372	374
PF3D7_1422700	129	147	169	183
PF3D7_0621600	0	0	2	0
PF3D7_1432100	176	254	201	180
PF3D7_1466700	62	52	60	84
PF3D7_0929400	1844	2294	1935	2004
PF3D7_0223400	2	0	6	11
PF3D7_0418200	646	510	471	499
PF3D7_1310500	92	141	185	246
PF3D7_0210600	37	46	172	229
PF3D7_0901900	16	7	4	11
PF3D7_1021800	400	343	414	469
PF3D7_1215500	15	13	1	3
PF3D7_1001300	83	74	16	19
PF3D7_1244500	4	22	6	6
PF3D7_1419000	230	251	204	239
PF3D7_API01900	0	0	0	0
PF3D7_1429500	23	14	10	13
PF3D7_0425300	1	0	0	1
PF3D7_1348300	78	72	78	116
PF3D7_API04900	0	0	0	0
PF3D7_0932800	546	511	455	470
PF3D7_0615100	6	17	6	8
PF3D7_0604700	261	252	341	348
PF3D7_1209400	78	68	268	330
PF3D7_0308300	14	25	27	20
PF3D7_1039800	0	0	0	1
PF3D7_1131400	37	23	36	46
PF3D7_1107700	318	326	319	394
PF3D7_0809700	13	54	30	40
PF3D7_0824800	112	93	64	80
PF3D7_1209700	122	109	79	83
PF3D7_0723800	221	158	183	211
PF3D7_1021900	1664	1295	1256	1492
PF3D7_1460500	155	142	264	347
PF3D7_1253400	0	0	1	2
PF3D7_0611400	72	64	37	53
PF3D7_1451600	2	17	9	11
PF3D7_1436000	577	395	302	398
PF3D7_0530400	13	11	9	12
PF3D7_0730500	182	146	217	294
PF3D7_0923600	46	70	27	33
PF3D7_0403800	25	25	132	144
PF3D7_0306700	109	151	151	122
PF3D7_1449200	278	271	240	210
PF3D7_1206200	1120	1073	636	771
PF3D7_0508000	549	788	337	292
PF3D7_1450100	248	375	533	556
PF3D7_0401800	162	56	2762	3303
PF3D7_1467300	336	482	268	253
PF3D7_0937800	9	3	4	2
PF3D7_0218700	172	209	226	237
PF3D7_0530750	27	27	22	16
PF3D7_1313500	8	6	4	7
PF3D7_1359600	1054	847	975	1246
PF3D7_0706400	845	1153	415	401
PF3D7_0830100	84	101	93	110
PF3D7_0801100	46	73	34	33
PF3D7_1349000	6	5	2	4
PF3D7_1334200	176	124	153	235
PF3D7_0811000	118	155	79	81
PF3D7_0804700	38	35	46	62
PF3D7_1133300	92	141	81	79
PF3D7_0904700	68	100	132	134
PF3D7_0529400	647	675	757	900
PF3D7_0312000	52	48	49	37
PF3D7_1418900	78	59	55	74
PF3D7_1148900	8	3	76	91
PF3D7_1028300	124	124	109	132
PF3D7_1240700	0	0	0	0
PF3D7_1310000	26	29	17	16
PF3D7_0300200	1	0	0	0
PF3D7_1341500	28	28	12	17
PF3D7_1243900	58	118	74	74
PF3D7_1323700	384	487	414	349
PF3D7_1327300	73	51	554	658
PF3D7_1476200	70	86	246	323
PF3D7_0730600	0	0	0	0
PF3D7_1229000	132	82	80	91
PF3D7_0826500	472	439	338	384
PF3D7_0830000	10	11	8	11
PF3D7_0723500	26	29	56	47
PF3D7_1024700	129	139	128	118
PF3D7_1225300	167	182	126	125
PF3D7_0532500	20	12	138	158
PF3D7_0210300	452	551	318	269
PF3D7_1201700	2	16	14	12
PF3D7_1142900	13	14	6	13
PF3D7_1111300	19	27	33	18
PF3D7_0627200	80	76	59	54
PF3D7_0729700	2	11	6	8
PF3D7_1023700	0	0	0	0
PF3D7_1213200	88	52	18	18
PF3D7_1012500	523	511	446	504
PF3D7_1402700	338	346	259	321
PF3D7_0421900	0	0	3	3
PF3D7_1235400	22	29	55	67
PF3D7_0104000	10	17	5	20
PF3D7_0731100	163	228	430	584
PF3D7_1141100	0	2	1	0
PF3D7_1219900	134	215	177	203
PF3D7_1470800	86	121	107	153
PF3D7_1428900	196	164	128	159
malmito_rna_10	7	7	6	6
PF3D7_0816700	72	122	29	40
PF3D7_0909600	174	209	195	212
PF3D7_0632800	7	3	3	5
PF3D7_1307400	0	2	2	1
PF3D7_1213700	118	165	153	177
PF3D7_1020500	7	7	13	12
PF3D7_1438500	73	119	119	158
PF3D7_1205600	1506	1563	1393	1483
PF3D7_1428500	16	26	34	31
PF3D7_1133600	21	23	7	14
PF3D7_0422300	306	256	402	457
PF3D7_1122700	75	92	95	104
PF3D7_0320500	236	287	405	448
PF3D7_1208100	57	31	40	47
PF3D7_0523300	89	117	198	204
PF3D7_1329200	67	83	111	154
PF3D7_1245900	37	40	23	33
PF3D7_0506800	220	227	331	301
PF3D7_0527100	890	1097	809	812
PF3D7_1008700	1990	2127	2109	2201
PF3D7_1472400	126	144	166	196
PF3D7_0524700	94	93	78	86
PF3D7_0911000	247	247	157	172
PF3D7_1234500	88	60	36	60
PF3D7_1245600	0	3	1	2
PF3D7_0510300	2	8	9	2
PF3D7_1008800	658	479	641	781
PF3D7_1408900	156	181	251	318
PF3D7_1335500	1	2	0	3
PF3D7_1421100	44	30	43	49
PF3D7_0809200	57	29	30	53
PF3D7_1209500	104	103	46	39
PF3D7_0800900	0	0	45	59
PF3D7_1130500	200	176	92	92
PF3D7_1241100	215	225	348	395
PF3D7_1213600	162	252	134	132
